# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	
2.403013922029999705e+01 1.521737059000006359e-02 2.600436401999979899e-02 2.974003295000020308e-02 2.733733519999987163e-02 3.401276878284006933e-02 2.749962882000036093e-02 3.168540038999947267e-02 2.831759644000012358e-02 2.208013101999979286e-02 3.309952615284011967e-02 3.032286950000004713e-02 3.120276947000011347e-02 2.530800171000009702e-02 2.519430235999970888e-02 2.701383056999984503e-02 3.380813124284015592e-02 2.769879455000009288e-02 2.630624085999988884e-02 2.650556639000024167e-02 9.501428219999797156e-03 2.569569702000007796e-02 3.530119765283998290e-02 3.150629881999995885e-02
2.503013922029999350e+01 1.498753662000090053e-02 2.600626525999962316e-02 2.974346922999975343e-02 2.760016480000012859e-02 3.391931134284022903e-02 2.750048370999938832e-02 3.151883240000045300e-02 2.851753232999981388e-02 2.222567140000028182e-02 3.274658357283997262e-02 3.049940777000003864e-02 3.125140381000000855e-02 2.526210022000013877e-02 2.500766296000001693e-02 2.725117187999967494e-02 3.375466367284009339e-02 2.775779494000016681e-02 2.624176942000012655e-02 2.651449889999967294e-02 9.496130369999810500e-03 2.574180297000057058e-02 3.525569517284020404e-02 3.150560074999941840e-02
2.603013922029999350e+01 1.499854128000006372e-02 2.599979247999965534e-02 2.970620725999979089e-02 2.780066530000040170e-02 3.373370457283927232e-02 2.750638618000048052e-02 3.149323577999987162e-02 2.850859986000032348e-02 2.226500243999944215e-02 3.273999292284034135e-02 3.049319934999996512e-02 3.127999879999988214e-02 2.522047116000030592e-02 2.499100343999962129e-02 2.730566404000055528e-02 3.360191252283959568e-02 2.791061325000018800e-02 2.622490538999991405e-02 2.639716289000014135e-02 9.603700779999894271e-03 2.576815793999958151e-02 3.523014128284048668e-02 3.150073164999978720e-02
2.703013922029999350e+01 1.477303467000019681e-02 2.622669982999943986e-02 2.950486754999965405e-02 2.799186401000042582e-02 3.376209890284007781e-02 2.748669396000041204e-02 3.129240111999954249e-02 2.865933532999988612e-02 2.243424580999987816e-02 3.261673839284014859e-02 3.050220927999992143e-02 3.077020081600003246e-02 2.571076843400005654e-02 2.498763122000018447e-02 2.733003539999954296e-02 3.342139112284023966e-02 2.807933654999997253e-02 2.623010864999996555e-02 2.629039305999976775e-02 9.722473140000511757e-03 2.552296141999977480e-02 3.548103163284031109e-02 3.128939819999961708e-02
2.803013922029999350e+01 1.451702880999946460e-02 2.625553589000012220e-02 2.947462768999994237e-02 2.800750427000020873e-02 3.398464032283991104e-02 2.729109040000039441e-02 3.125163268999951727e-02 2.889766845999984166e-02 2.235003661000046007e-02 3.250556375283984029e-02 3.065585728000001092e-02 3.036376954000006775e-02 2.616340025999997973e-02 2.498503722999994431e-02 2.711640015000011880e-02 3.349262448283982230e-02 2.800519790999997025e-02 2.640750428999999802e-02 2.609073180000013800e-02 1.009263305000004073e-02 2.515606080000016079e-02 3.552160321284027200e-02 3.124550018999964346e-02
2.903013922029999350e+01 1.448859709999960645e-02 2.620573425000022674e-02 2.948503113000006115e-02 2.800116576999971477e-02 3.385166379284019339e-02 2.748160172000061602e-02 3.119666442999935105e-02 2.897453612999997818e-02 2.210103454999989489e-02 3.272721835284012060e-02 3.069467171999994137e-02 3.008740693000008792e-02 2.625709840000017836e-02 2.516199338999976914e-02 2.702920533999968178e-02 3.348916454284037864e-02 2.783415831999982298e-02 2.666747133000026138e-02 2.601194151999989060e-02 1.029696044999982470e-02 2.449189941200020232e-02 3.601936216083995862e-02 3.102410354000005588e-02
3.003013922029999350e+01 1.446349791999964468e-02 2.625056766000000152e-02 2.949533688000010451e-02 2.811013183999966705e-02 3.415943678084047697e-02 2.700239166199928584e-02 3.125202789000051939e-02 2.898280030000023599e-02 2.212460326000000380e-02 3.264074766283968365e-02 3.091154709000003276e-02 2.985170441999989571e-02 2.648529662000000812e-02 2.513296507999985066e-02 2.724082337500003531e-02 3.314557629784015136e-02 2.779919740000004816e-02 2.671826779999974047e-02 2.616016847000027928e-02 1.007596435999985260e-02 2.425733642999984910e-02 3.625502834284052150e-02 3.095027289666634276e-02
3.103013922029999350e+01 1.418646971600071548e-02 2.648229676999965324e-02 2.948764037000000879e-02 2.812363280999997939e-02 3.444843352283969568e-02 2.660772627999976811e-02 3.134946289000056091e-02 2.880506590999975733e-02 2.224234010000000067e-02 3.263585730284014608e-02 3.096419897000014451e-02 2.986457214999973034e-02 2.657579651999985790e-02 2.498583373000001426e-02 2.744963379000000744e-02 3.300003186284022894e-02 2.762812806000010737e-02 2.669027404000007611e-02 2.634239501999982233e-02 9.994799819999752519e-03 2.415872802000012740e-02 3.634927045283984498e-02 3.083971812666684228e-02
3.203013922029999350e+01 1.367927247000043367e-02 2.669396361999954587e-02 2.930210572000032862e-02 2.824599607999953021e-02 3.458243657284001266e-02 2.644226113000040790e-02 3.144633025999994669e-02 2.856469725999995560e-02 2.221900024999958964e-02 3.272565823284034892e-02 3.104530717000004644e-02 2.976957548999980760e-02 2.682315369000025373e-02 2.467876892999993146e-02 2.750413818000015456e-02 3.300579361283983298e-02 2.775839231999998463e-02 2.655074462000011487e-02 2.644976198000003817e-02 1.005296627999996417e-02 2.394030154000029165e-02 3.650629635283985513e-02 3.074012831999955314e-02
3.303013922029999350e+01 1.349703368999907900e-02 2.695486604000018466e-02 2.904626464000029801e-02 2.817727050999929012e-02 3.483004820284040653e-02 2.637980880000032058e-02 3.151060332999970626e-02 2.850289917000009207e-02 2.210453491000007389e-02 3.289259741284011190e-02 3.100153237000008791e-02 2.963610228999968843e-02 2.701032714000011631e-02 2.449500123000034404e-02 2.749942627000018583e-02 3.301126920283961597e-02 2.768636397000000249e-02 2.675183715999992357e-02 2.643533325999997130e-02 1.013073120000008119e-02 2.387760008999939565e-02 3.649783155284021946e-02 3.055923157000036208e-02
3.403013922029999350e+01 1.330024796000034253e-02 2.706009827999971556e-02 2.899266966000032045e-02 2.791237182000040618e-02 3.510334685283923728e-02 2.618920822000072798e-02 3.151726683999970385e-02 2.866627197999987303e-02 2.210386352000059604e-02 3.291250058283939905e-02 3.100199203999993644e-02 2.961903533000022348e-02 2.720020386799981357e-02 2.432522949200035742e-02 2.749526976999986869e-02 3.294812604283981622e-02 2.753026073333330812e-02 2.688750812666658094e-02 2.650480347999982847e-02 1.008252562999987362e-02 2.393490600000004742e-02 3.632022842284059194e-02 3.049233395999965610e-02
3.503013922029999350e+01 1.304629975000061622e-02 2.697789915999949245e-02 2.917426453000043773e-02 2.784590454999997730e-02 3.516606732284053433e-02 2.600488890999913538e-02 3.150983429999999058e-02 2.880486755000019952e-02 2.191923826999991540e-02 3.315126659284012289e-02 3.106492280999996122e-02 2.930293428000004669e-02 2.766096596999983656e-02 2.404903769000060407e-02 2.755963134999910719e-02 3.288902722284040014e-02 2.739147033999997718e-02 2.704256591000012144e-02 2.649636535999998210e-02 9.884094239999467735e-03 2.414473876000119978e-02 3.617276442283982874e-02 3.050100097999932161e-02
3.603013922029999350e+01 1.299283598999973095e-02 2.701556550000043522e-02 2.924263304999985894e-02 2.774396363000050658e-02 3.525925352284029618e-02 2.600317763999919485e-02 3.152920227000015341e-02 2.872813110000024470e-02 2.175153199000014886e-02 3.320928917283972465e-02 3.131994189999998124e-02 2.885379029333349707e-02 2.816177672666648341e-02 2.367907410000043289e-02 2.780685424999974203e-02 3.270526718283983669e-02 2.728626858000006775e-02 2.725939943000012244e-02 2.649486694000006623e-02 9.758398449999367355e-03 2.423593749000065023e-02 3.626605816283918343e-02 3.049879914000068817e-02
3.703013922029999350e+01 1.300360718000010893e-02 2.703159790999982298e-02 2.929666747000046756e-02 2.766946716000020373e-02 3.534033797283919059e-02 2.599818878000005606e-02 3.167846680000022813e-02 2.851813658999999626e-02 2.173876647999968548e-02 3.327445174284036911e-02 3.151077453999993200e-02 2.848867034000031676e-02 2.851372679999985768e-02 2.348007201999935054e-02 2.801576538000008498e-02 3.252316343284039624e-02 2.722529983000003886e-02 2.727496642999976614e-02 2.648789979000030007e-02 9.827301029999581036e-03 2.414113158000036341e-02 3.626909314284057495e-02 3.050473632999949058e-02
3.803013922029999350e+01 1.299520416000013966e-02 2.728063812000057139e-02 2.926519775999986486e-02 2.746156616000007544e-02 3.559580060283987907e-02 2.599186096999983250e-02 3.146341765600000479e-02 2.871528564400025602e-02 2.149913329999981332e-02 3.366606370283998367e-02 3.155332953666668133e-02 2.814593404333318172e-02 2.866913450999963864e-02 2.333046266000019311e-02 2.831434020500019078e-02 3.235799084784014151e-02 2.700406190000012585e-02 2.769698282666649761e-02 2.628896077333338355e-02 9.779565430000365656e-03 2.406113280999997925e-02 3.617568799283908676e-02 3.050113832000081460e-02
3.903013922029999350e+01 1.300045012666694276e-02 2.743781738333304909e-02 2.906226705666643817e-02 2.733430582333336301e-02 3.593674756284017530e-02 2.599641113999968944e-02 3.122926330000066336e-02 2.878533325999960493e-02 2.149460447999954407e-02 3.406085692284052668e-02 3.127290602999999863e-02 2.820429991999990477e-02 2.884079895499962881e-02 2.315233460500021323e-02 2.848886720000009393e-02 3.202179241284013739e-02 2.700426178000015984e-02 2.780467527999971877e-02 2.619060363999997296e-02 9.753698730000178244e-03 2.420520020000039782e-02 3.605101910283919908e-02 3.045810396000035725e-02
4.003013922029999350e+01 1.295376738000049953e-02 2.752472992000023003e-02 2.889872131999982399e-02 2.724668578999990196e-02 3.619712913617306738e-02 2.596599781666689144e-02 3.102249451000045621e-02 2.875187072999942778e-02 2.148976746000007612e-02 3.427703038284014153e-02 3.147842904000013042e-02 2.801430205999968018e-02 2.899126586999955027e-02 2.299750061000086290e-02 2.849769897000005436e-02 3.201469633283970939e-02 2.699749679000005773e-02 2.800173644999977285e-02 2.600060425000010750e-02 9.743731680000200512e-03 2.398959963999950512e-02 3.627795848284076641e-02 3.022823790999993807e-02
4.103013922029999350e+01 1.300120238000090390e-02 2.751912843999909999e-02 2.871617125000048079e-02 2.727143248999927896e-02 3.650291275284107267e-02 2.575875241999892734e-02 3.099672853000067646e-02 2.875913084999956459e-02 2.148140868000045917e-02 3.427041142283988179e-02 3.149717568999996914e-02 2.802309722999980421e-02 2.898190613000006105e-02 2.300533447000052689e-02 2.850313109999988090e-02 3.201149580283974699e-02 2.700043335000018585e-02 2.799926605999971882e-02 2.599950562000049106e-02 9.760430889999406265e-03 2.399433594000001738e-02 3.626562330283995828e-02 3.024537049000011746e-02
