# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	
2.903013922029999350e+01 3.964831539999795496e+01 -4.009679793999994217e+02 -1.957312469666664185e+02 7.296358486666682097e+01 4.540526580999990074e+02 -2.986555480999995780e+02
3.003013922029999350e+01 3.946569819999785977e+01 -4.007083434999985911e+02 -1.963830985000004148e+02 7.274410619999980554e+01 4.537679901499996049e+02 -2.989236450499999478e+02
3.103013922029999350e+01 4.006887815000118280e+01 -4.018343505000002551e+02 -1.963651677000002564e+02 7.384734535000006872e+01 4.532779846999987967e+02 -2.994516499999990629e+02
3.203013922029999350e+01 4.057131959999969695e+01 -4.018893433000012010e+02 -1.963504332999991675e+02 7.327844249999998283e+01 4.537666624500016042e+02 -3.001060180500026036e+02
3.303013922029999350e+01 3.929370109999581473e+01 -4.000939127666630384e+02 -1.971283391333334691e+02 7.259606554999982109e+01 4.543904990999981237e+02 -3.010281677499979196e+02
3.403013922029999350e+01 3.840765380000084406e+01 -3.981284942500014949e+02 -1.988189735500000097e+02 7.321079635000023700e+01 4.547158279999994193e+02 -3.022853089000000182e+02
3.503013922029999350e+01 3.911968999999953667e+01 -3.984470215000001190e+02 -1.989558926000004249e+02 7.381938744999979463e+01 4.540724792499977411e+02 -3.022397918499982552e+02
3.603013922029999350e+01 3.856231690000277013e+01 -3.985888138000009349e+02 -1.985565376500003367e+02 7.318486419999999271e+01 4.539946669999981168e+02 -3.013283386999974027e+02
3.703013922029999350e+01 3.737200925000433926e+01 -3.973273315000024013e+02 -1.988454894500000592e+02 7.257848734999970475e+01 4.540773353999984465e+02 -3.017575073999978486e+02
3.803013922029999350e+01 3.728350830000272254e+01 -3.973861694500010344e+02 -1.988151340500000970e+02 7.371813390000011168e+01 4.538478546500018638e+02 -3.026425170500006061e+02
3.903013922029999350e+01 3.607797241666651189e+01 -3.965422058499989362e+02 -1.987566528000002108e+02 7.372299960000009378e+01 4.537661971500001528e+02 -3.027606963500002166e+02
4.003013922029999350e+01 3.670950314999936381e+01 -3.964853591999999480e+02 -1.987823142999998254e+02 7.476165009999999711e+01 4.537178458500006855e+02 -3.038533324999989418e+02
4.103013922029999350e+01 3.694476314999701572e+01 -3.952460173999970721e+02 -2.009564315999999167e+02 7.616293639999985032e+01 4.537981795999990027e+02 -3.038056639999995241e+02
4.203013922029999350e+01 4.061785886666496026e+01 -3.951031494499993642e+02 -2.034052809999993769e+02 7.818959425000002739e+01 4.529615364000005684e+02 -3.026858367999993789e+02
4.303013922029999350e+01 4.141482544999962556e+01 -3.945171508500006894e+02 -2.038365364000005684e+02 7.832086560000016107e+01 4.525693511999988914e+02 -3.023656921000001603e+02
