# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	
5.200000000000000000e+01 -2.544382216447813386e-02 -7.228188358276768088e-01 -7.230317570919265746e-01 2.930060073199046433e-02 -7.182690830213601663e-01 -7.339076819328106405e-01 -7.276325992894733252e-01 -5.434331514806516571e-04
5.300000000000000000e+01 -2.955275133848563746e-02 -7.445736787548513647e-01 -7.441405530836360249e-01 9.516104130249272361e-03 -7.414505664620399950e-01 -7.573521784821820590e-01 -7.486542952866209744e-01 -8.564520940634158530e-02
5.400000000000000000e+01 -2.186470453090834376e-02 -7.653998287593984928e-01 -7.638361762857646120e-01 4.303364326453416183e-02 -7.627449603356667440e-01 -7.795541282473948952e-01 -7.682883327867862100e-01 -1.021260321807806043e-01
5.500000000000000000e+01 -1.936014264795396164e-02 -7.853631867499059060e-01 -7.828953880829936374e-01 7.941709118391086786e-02 -7.815613622475413580e-01 -8.003212641478412159e-01 -7.866231375314668428e-01 -6.940487430665653878e-02
5.600000000000000000e+01 -6.765867376932188648e-02 -8.023302946316095419e-01 -8.005413997190871100e-01 1.005422425872472963e-01 -7.988759149618966937e-01 -8.188988107469715727e-01 -8.025659424874304060e-01 -1.966861824702170400e-02
5.700000000000000000e+01 -1.854330806342506521e-01 -8.184131108703051050e-01 -8.174946670140681437e-01 1.209612020698743184e-01 -8.163414886229057865e-01 -8.364819414071631432e-01 -8.178508979051777317e-01 -1.381814633244836561e-02
5.800000000000000000e+01 -2.489087538644868813e-01 -8.346551703956089918e-01 -8.342076910718114746e-01 8.687339307097619034e-02 -8.326446385952694929e-01 -8.526509113409173057e-01 -8.328988170155359194e-01 -5.744914215203708423e-03
5.900000000000000000e+01 -1.929007305038931697e-01 -8.500895504125457469e-01 -8.494023471127686298e-01 2.267185786071897191e-02 -8.464825374883682141e-01 -8.672917639139259283e-01 -8.468508393959212066e-01 1.569201598583768939e-02
6.000000000000000000e+01 -1.583278953212239604e-01 -8.639341022345147225e-01 -8.622018134910219844e-01 7.830499880447526831e-03 -8.582965384311557200e-01 -8.801564168132748334e-01 -8.595719244180746177e-01 -1.473064097169834823e-02
6.100000000000000000e+01 -2.074690565245560780e-01 -8.757192643121028963e-01 -8.734817597491629781e-01 -1.922770289225684062e-02 -8.688182351989548469e-01 -8.911078273964683216e-01 -8.702233269535967208e-01 -9.242714410445007633e-02
6.200000000000000000e+01 -2.104573977938360707e-01 -8.853472833172827405e-01 -8.835407803269773597e-01 -9.467209055136860396e-02 -8.779266822586468955e-01 -9.001061428743210024e-01 -8.783192518564242324e-01 -1.329131056850870463e-01
6.300000000000000000e+01 -1.080707912467759463e-01 -8.913059571803733094e-01 -8.901939488260732780e-01 -1.808581638402126934e-01 -8.842285199525667938e-01 -9.060839464220723505e-01 -8.836788417513444793e-01 -5.252671004616811523e-02
6.400000000000000000e+01 -1.653652367339445220e-02 -8.947600000638100681e-01 -8.941708562280188399e-01 -2.744798398846405862e-01 -8.877794957882296778e-01 -9.095757798100823077e-01 -8.872412977230128561e-01 1.737100017795540491e-02
