# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	vx_23	vx_24	vx_25	vx_26	vx_27	vx_28	vx_29	vx_30	vx_31	vx_32	
1.000000000000000000e+01 7.888739902507503343e-01 8.632832771914039638e-01 8.388163148848840622e-01 8.493020523470186101e-01 3.655459153865497912e-01 8.288827758415187041e-01 4.421804486648615584e-01 1.334925288078284977e-01 5.205508658305355585e-01 6.238393836768090228e-01 8.333354028297913496e-01 3.105742149854801570e-01 1.966496827889836485e-01 -1.954903124395231812e-02 9.910358330522092696e-02 8.418500661692672749e-01 -5.633153777209749802e-02 8.351284408060853925e-01 5.437498351245709238e-02 1.378994508489143345e-01 -2.870519591373965271e-02 9.470670541036534107e-02 8.261409810997433212e-01 8.188119702851168746e-01 -8.245735074187225677e-02 4.337651779174503397e-01 8.439039595256973003e-01 8.382682459817778486e-01 1.652092539724034637e-01 1.213687718419015765e-01 3.820634985710466003e-01 4.965793395284087697e-01 nan
1.100000000000000000e+01 7.621644475476908598e-01 8.382196031916150369e-01 8.090356065449444412e-01 8.247462666533156295e-01 3.576970714605690604e-01 8.014950504210943683e-01 3.682616609323604018e-01 5.887985770639204280e-02 4.559610496168922111e-01 5.775179982696052594e-01 8.056058083440168494e-01 2.052542340206419680e-01 1.097656944509444316e-01 -7.809925503046691309e-02 9.667861231036853353e-02 8.161875713784596531e-01 -1.039771402092502933e-01 8.085404675767401406e-01 6.944958471827948621e-02 1.232127389523520050e-01 -2.134142538136032247e-02 -2.501339133140075000e-02 7.991931765164969059e-01 7.914767053560375354e-01 -1.941451969783336007e-01 3.928244037117430421e-01 8.167510344106944098e-01 8.112063642424134358e-01 6.548709612862362028e-02 1.469492186588550742e-01 3.337973539745711093e-01 4.580829528623500679e-01 nan
1.200000000000000000e+01 7.344794797245957074e-01 8.112199063068213922e-01 7.767291929263994144e-01 7.961387052461847968e-01 2.825618014257447186e-01 7.717116197743588701e-01 2.832906870858785675e-01 -1.015653263993870070e-01 3.942265938392942592e-01 5.286392885164128419e-01 7.755067331413921794e-01 9.280857937865195917e-02 6.865439149719379519e-02 -1.390581533449885832e-01 9.827615737803101215e-02 7.885720905741971931e-01 -1.073880650617888843e-01 7.802419070056638706e-01 7.574990423404844020e-02 6.410517407607793650e-02 -4.603980687264095512e-02 -1.170195602432214273e-02 7.700672980500111731e-01 7.615640665307916723e-01 -3.068341711890396617e-01 3.195987070001247154e-01 7.867974871717254848e-01 7.822451544680119051e-01 7.869904474300730424e-02 1.699022628920832390e-01 2.950047036613460127e-01 4.178630195895772226e-01 nan
1.300000000000000000e+01 7.055425264102493932e-01 7.827332847595495080e-01 7.432005349835772989e-01 7.658573417949093853e-01 1.955508843637018268e-01 7.421817646907150623e-01 2.162729757269054309e-01 -1.179842961484064284e-01 3.303496386567509879e-01 4.852938210132202168e-01 7.460007529050606268e-01 8.577844155399916293e-02 8.196980036194451147e-02 -1.651041607493416719e-01 6.710205538749949850e-02 7.601596954685981844e-01 -6.546699344915495045e-02 7.516488541921804156e-01 6.672083249610574751e-02 2.699343971490173258e-02 -9.001690125401888565e-02 8.596214227405651886e-02 7.409789112024528501e-01 7.322566838599424699e-01 -3.132109463593518162e-01 2.529458581170919707e-01 7.565345257739847229e-01 7.533475548652206477e-01 1.695458677290291594e-01 1.956936295152016669e-01 2.640683750316618061e-01 3.690139387159893092e-01 nan
1.400000000000000000e+01 6.747866933932863409e-01 7.522401323314449328e-01 7.080499921326153245e-01 7.332305072093111553e-01 1.526944324179404788e-01 7.112305220727688226e-01 1.683559197716607281e-01 -5.391154074550435354e-02 2.701550323958246125e-01 4.388732163871356673e-01 7.138528591600392659e-01 1.316239654893927580e-01 8.260697926045086625e-02 -1.563366757284761210e-01 3.195964556595353584e-02 7.292485725049115963e-01 1.301555777000884193e-02 7.198831682877230298e-01 6.078315281751683896e-02 -5.913022930632930510e-03 -1.213638689198951875e-01 8.249996582260056555e-02 7.094485250539541710e-01 7.017892495233128969e-01 -2.357369352502757254e-01 2.272593152616958212e-01 7.240407446867985763e-01 7.220330430470542904e-01 1.387369399741242293e-01 1.706304321855044714e-01 2.264872826100480518e-01 3.245111943839393831e-01 nan
1.500000000000000000e+01 6.427493157470051122e-01 7.203464424230965335e-01 6.723782218100168295e-01 7.008661257350106144e-01 1.176090437274554396e-01 6.806188961431788309e-01 1.274405758493108720e-01 -7.162210206102766208e-02 2.193862655263920103e-01 3.869230095841904027e-01 6.804858142949853361e-01 1.464521051704746057e-01 7.650658422436695805e-02 -1.636109111542364547e-01 -4.558303955223592940e-02 6.970127787848899859e-01 7.503763282171398152e-02 6.866848584149529700e-01 4.613169264192468894e-02 -3.978547155198967900e-02 -1.540287926065079249e-01 -4.676487027065850260e-02 6.776263753575847426e-01 6.710754042370790096e-01 -1.256080589693129024e-01 2.100884697131622791e-01 6.903194317195879837e-01 6.895529248511838016e-01 8.692478253074746933e-03 1.246540769638713464e-01 1.955322930469005904e-01 2.803379609147149121e-01 nan
1.600000000000000000e+01 6.094441092880118482e-01 6.865511762375087201e-01 6.353029168080489564e-01 6.666430080288363591e-01 8.332266961146569950e-02 6.467612150174264496e-01 1.030010640648609532e-01 -4.646373241103489427e-02 1.695371833930510996e-01 3.362040049566769606e-01 6.450962515820832799e-01 1.334812646529071334e-01 6.360402554434624323e-02 -1.636279377400696733e-01 -1.303898832158562060e-01 6.633501047538160611e-01 1.425641639595910393e-01 6.515679551391557744e-01 3.750123532068129484e-02 -7.261795472996808443e-02 -1.922700180339585729e-01 -1.423525505438674454e-01 6.444447780612216903e-01 6.380687208987714243e-01 -8.278293764960271972e-02 2.010233449144951112e-01 6.549761963916395091e-01 6.553418048907246884e-01 -1.322689751390856809e-02 1.115204103538956076e-01 1.930789540994944653e-01 2.272080029766812281e-01 nan
1.700000000000000000e+01 5.754837913320488552e-01 6.509906688381843498e-01 5.966181996077192240e-01 6.312297934942011635e-01 8.881659408576247916e-02 6.114989376166668489e-01 8.749722615670095516e-02 3.590003922454768071e-02 1.191286540588856052e-01 2.804968137988428922e-01 6.095691615189208212e-01 7.458535169835239786e-02 2.079999346601319951e-02 -1.763788180142408235e-01 -1.669145955248391433e-01 6.294824742691945696e-01 2.178926778585985324e-01 6.167125144437693995e-01 5.958444479223671403e-02 -8.962938825217459105e-02 -1.988218886564895593e-01 -1.928211837627697434e-01 6.105022653847014258e-01 6.031046758844534894e-01 -1.549914577986698794e-01 1.751642309503503581e-01 6.197602116736263822e-01 6.208347951619260785e-01 8.973555905380990738e-02 1.406669860180746467e-01 2.340909594498901958e-01 1.729785961984073306e-01 nan
1.800000000000000000e+01 5.421338299600322319e-01 6.141445030951321327e-01 5.568379444149076374e-01 5.940755211889200416e-01 1.447056943001103768e-01 5.748428901146589443e-01 5.706589168684875896e-02 -2.124682642084785300e-02 7.600755154667085400e-02 2.280213240641560668e-01 5.721076880049168478e-01 -2.348986799976197221e-02 -2.140152701718476755e-02 -1.730390796318663493e-01 -1.156580514378511698e-01 5.951820148898394613e-01 3.104951508528244752e-01 5.801745938352035337e-01 1.117334101680856062e-01 -1.083854165019867560e-01 -2.039165737594818284e-01 -1.546647331903867884e-01 5.744793089647697304e-01 5.661747110226293955e-01 -9.623618387647646377e-02 1.655712231421966052e-01 5.834659833321949041e-01 5.844338062863134731e-01 1.565832274747265274e-01 1.940129855853934826e-01 2.802692852190376005e-01 1.277807753829977855e-01 nan
1.900000000000000000e+01 5.094416726313377719e-01 5.756926149520434910e-01 5.161114806189086579e-01 5.563741330617260061e-01 1.942718844748012874e-01 5.381341983997871559e-01 2.322838045453793840e-02 -6.877024144677788831e-02 3.200935772695382570e-02 1.806297315186684294e-01 5.328003650575633410e-01 -9.920231124673360712e-02 4.474327580255919867e-03 -1.232214497092251476e-01 -7.077653277786631614e-02 5.592743368886162747e-01 3.505359256956591119e-01 5.418700874840013393e-01 1.469729957903134487e-01 -1.139430751902454630e-01 -1.852781560118205995e-01 -1.276668119065532958e-01 5.366448061095019373e-01 5.278035922166031124e-01 2.653316431590519581e-02 1.628039065025597698e-01 5.455598445062324053e-01 5.459990701083377029e-01 1.061777189730987725e-01 1.989099306565792480e-01 2.941051535370839409e-01 8.701906150377597404e-02 nan
2.000000000000000000e+01 4.758692784342533622e-01 5.356613306462895130e-01 4.741000776599914590e-01 5.183057730072895275e-01 2.443465539308133094e-01 5.003208513882460018e-01 1.166120500891852608e-03 -2.748183940899697267e-02 -1.770133802190746591e-02 1.266043953486136187e-01 4.919207686243847188e-01 -1.286283818492746367e-01 4.938331449783481264e-02 -6.985940054555669909e-02 -1.147689881740808493e-01 5.200823173192085092e-01 3.397817107668248959e-01 5.012214307405775671e-01 1.406689867237447267e-01 -1.051325260178695431e-01 -1.705277589644654535e-01 -1.699437236767419590e-01 4.965157187753332368e-01 4.883537678884928845e-01 6.948004287795560285e-02 1.619527329365234580e-01 5.061247270228995676e-01 5.055618461633464289e-01 4.322686350553579804e-02 1.428554374735326871e-01 2.800291560884359821e-01 6.592089403900314171e-02 nan
2.100000000000000000e+01 4.412978431220498376e-01 4.944178576278366877e-01 4.308335499876158603e-01 4.785940879861196873e-01 2.868288990779389036e-01 4.608060007298314664e-01 -2.916153123751522025e-02 2.291047976445037548e-02 -6.205762326941902801e-02 7.896690086456006896e-02 4.490639302075667416e-01 -1.463453732749051550e-01 2.572704470275401917e-02 -5.063970638788588968e-02 -1.676640738910423756e-01 4.784937416005283772e-01 3.306399347225856822e-01 4.583001925257830789e-01 8.977801502313116633e-02 -1.140875520063140552e-01 -1.597726368349181858e-01 -1.509708245020092432e-01 4.541185093630556446e-01 4.469086497715978323e-01 3.747738677515079220e-02 1.497923820265998629e-01 4.649265885618332761e-01 4.635824658455344749e-01 8.365891906935760125e-02 7.427436092243748511e-02 2.354245512689759623e-01 4.694371082364624803e-02 nan
