# r	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	h_20	h_21	h_22	h_23	h_24	h_25	h_26	h_27	h_28	h_29	h_30	h_31	h_32	
1.203013922029999883e+01 5.279060059999992518e+02 6.354586792000009154e+02 7.909926610000002256e+01 6.052009887999993225e+02 7.477578125000000000e+02 9.315209723642001336e+02 3.252706603999995423e+02 4.715095061999995778e+02 6.452539672999992035e+02 8.178088942642007169e+02 9.840094825142004993e+02 3.965456543000000238e+02 1.290783385999998245e+02 8.866414786142004232e+02 2.653953400000000329e+02 4.941843262000002142e+02 6.866756592000001547e+02 4.777296752999991440e+02 6.440116577499993582e+02 8.239910041141993133e+02 9.445178798975333621e+02 3.327326659999998810e+02 4.901576690500000950e+02 6.114946899999995367e+02 8.065454855642001348e+02 9.728154822141996192e+02 3.677246703999999227e+02 5.265150146500000119e+02 6.790243225499998516e+02 9.394076539999991837e+01 2.726481780999997682e+02 4.426661988000000747e+02 5.765016479999994772e+02
1.303013922029999705e+01 5.283216553000002023e+02 6.358792419500005053e+02 7.909242506666669215e+01 6.046653137499997683e+02 7.471033325000007608e+02 9.310989752642017265e+02 3.248446655999996437e+02 4.708309936999994534e+02 6.447816772999995010e+02 8.171485091142003512e+02 9.834654913641988969e+02 3.963008270499999526e+02 1.297053375499999675e+02 8.872976446641987422e+02 2.659158173000000716e+02 4.945879822000006243e+02 6.870903319999997620e+02 4.772956543000000238e+02 6.434423218000001725e+02 8.234797927141989931e+02 9.433383093642005406e+02 3.321983337500000744e+02 4.895136719000001904e+02 6.110596924000001309e+02 8.063272887142002219e+02 9.720923224641992419e+02 3.670769958500000030e+02 5.259648437999994712e+02 6.784825134499997148e+02 9.329481889999999566e+01 2.721217041499999141e+02 4.421305084500004341e+02 5.758779907500002082e+02
1.403013922029999705e+01 5.277736511499997505e+02 6.363925984999992806e+02 7.887175000000002001e+01 6.052089844000001904e+02 7.467059937000012724e+02 9.316313086641985137e+02 3.242196655500001725e+02 4.704526673000000301e+02 6.453048095500007548e+02 8.165666914641988114e+02 9.839946509641995362e+02 3.969391937500004133e+02 1.303239899000000150e+02 8.868454810141993221e+02 2.653720093000001725e+02 4.940443268499993792e+02 6.865301819000005707e+02 4.767501678999997239e+02 6.440096436000003450e+02 8.240132361641990428e+02 9.431476355642007547e+02 3.327510070999996969e+02 4.899889831499995125e+02 6.115496521000004577e+02 8.067681380642006843e+02 9.716503210642003978e+02 3.664246520999995482e+02 5.265250243999998929e+02 6.789806520000001910e+02 9.268746190000001661e+01 2.726580199999998513e+02 4.427049865999997564e+02 5.752650147000003926e+02
1.503013922029999705e+01 5.283083191000005172e+02 6.370390014999993582e+02 7.957695009999997637e+01 6.055834961499995188e+02 7.460741882999991503e+02 9.311026450141998794e+02 3.235946655999996437e+02 4.692631022333334840e+02 6.447926941000005172e+02 8.161003867641993565e+02 9.835939703641997767e+02 3.973023377000008622e+02 1.307716675000001487e+02 8.870926581642015663e+02 2.658053283999997802e+02 4.945630035499998485e+02 6.871043091500005175e+02 4.777774963500000922e+02 6.452675018499999169e+02 8.240952921891994265e+02 9.434993048641990754e+02 3.323273315999995248e+02 4.904577331500004220e+02 6.110496521000004577e+02 8.060709906641995985e+02 9.710494834141991305e+02 3.660176696999997148e+02 5.268215027000005648e+02 6.785073241999998572e+02 9.307020195000006879e+01 2.722770080999998754e+02 4.431015015500006484e+02 5.748549805999991804e+02
1.603013922029999705e+01 5.280724793500003216e+02 6.365188293499995780e+02 8.024002840000002834e+01 6.054110108000004402e+02 7.454810180999993463e+02 9.304456549641981837e+02 3.241100005999996938e+02 4.679591674499997680e+02 6.450083618500002558e+02 8.154711734142001660e+02 9.841316443641990190e+02 3.978566895000003569e+02 1.313591766499998812e+02 8.876791678141999000e+02 2.664648437500000000e+02 4.943294983000005232e+02 6.868503418500004045e+02 4.790993347000003268e+02 6.465791626000000178e+02 8.251068145141998684e+02 9.440974799142004485e+02 3.334394429666663200e+02 4.894022421000002510e+02 6.104073485999997501e+02 8.063439456142004929e+02 9.704476538642011292e+02 3.665525055499997507e+02 5.275136719000001904e+02 6.790233153999997739e+02 9.375995254999997996e+01 2.716781921500000863e+02 4.429360046000001603e+02 5.742220153999996910e+02
1.703013922029999705e+01 5.282936401000006299e+02 6.368083495999999286e+02 7.968387605000009444e+01 6.048041686999995363e+02 7.447948303499997564e+02 9.297974844641994423e+02 3.238196717000000717e+02 4.672990112000006775e+02 6.447490235000004759e+02 8.148156996641992009e+02 9.835469733141999313e+02 3.973216704999995272e+02 1.319763490000000274e+02 8.883002998642004968e+02 2.670483397999996669e+02 4.939526671999992686e+02 6.863243713499996375e+02 4.787310180999993463e+02 6.460509949000006600e+02 8.248411475641987636e+02 9.435974799142004485e+02 3.335283202999999048e+02 4.884746398999996018e+02 6.092417806666671822e+02 8.069005423642011010e+02 9.698329764641985093e+02 3.660166778499997235e+02 5.280808410499994352e+02 6.785335083000009035e+02 9.351902010000003429e+01 2.710896605999996609e+02 4.422565155000002051e+02 5.735839844000001904e+02
1.803013922029999705e+01 5.286983032000007370e+02 6.374989929500006838e+02 7.903876495000008617e+01 6.042109984999988228e+02 7.450469970499998453e+02 9.300863257141991198e+02 3.231621551999996882e+02 4.668796691999996256e+02 6.437940470666666215e+02 8.153011027141983504e+02 9.838226386142014235e+02 3.966860047000009217e+02 1.314990005500001189e+02 8.887343054642005882e+02 2.674296874999990905e+02 4.937314911000003121e+02 6.858383179000011296e+02 4.784356842500001221e+02 6.454122925000010582e+02 8.253550063642014720e+02 9.436346503642016614e+02 3.344010162499998842e+02 4.889678192500005025e+02 6.079668274000014208e+02 8.067288580642016314e+02 9.699166480642015813e+02 3.661106873000007909e+02 5.286273194000004878e+02 6.787965088000000833e+02 9.313315580000016780e+01 2.706746825999998691e+02 4.425580291999995097e+02 5.741354980999994950e+02
1.903013922029999705e+01 5.293004760500007251e+02 6.381389770999994653e+02 7.933560179999994944e+01 6.037990113000014389e+02 7.454193726000012248e+02 9.298423376641985669e+02 3.225516967999992630e+02 4.662939911000003121e+02 6.432502746500013018e+02 8.150183516641991446e+02 9.852869673641998816e+02 3.972003478999995423e+02 1.317856597999998485e+02 8.892766180975340831e+02 2.680544891499994264e+02 4.933971557999993820e+02 6.856468506500004878e+02 4.799709351199999219e+02 6.449736327999999048e+02 8.250212775641994085e+02 9.438534690141987085e+02 3.350146942000001218e+02 4.887009887999993225e+02 6.073313598999993701e+02 8.072133342641991476e+02 9.701054679141998349e+02 3.675080200399996215e+02 5.300504638800005068e+02 6.785683594000001904e+02 9.252804949999995188e+01 2.700598602499999288e+02 4.440006256250003389e+02 5.737899780999996437e+02
2.003013922029999705e+01 5.290165101000002323e+02 6.384145202500003506e+02 7.964636614999994890e+01 6.031658325499993225e+02 7.456409912500002974e+02 9.294216528641991317e+02 3.220627136000002793e+02 4.656966553000002023e+02 6.440084838999991916e+02 8.147326918642011151e+02 9.865834723141997529e+02 3.978021698499997001e+02 1.324293288999999731e+02 8.900613165641989326e+02 2.677754974999998012e+02 4.927369690499999706e+02 6.853406982500000595e+02 4.815446472499988886e+02 6.443474732000013319e+02 8.247428847142000450e+02 9.432246466641990992e+02 3.352863464500005648e+02 4.881641693499996109e+02 6.068859864000005473e+02 8.078139811642013228e+02 9.694773169641994173e+02 3.690970154500000717e+02 5.315393371999998635e+02 6.791380005499995605e+02 9.285280994999993709e+01 2.703225250499999675e+02 4.453060150499995871e+02 5.734499816999996256e+02
2.103013922029999705e+01 5.293436890000011772e+02 6.377903442999995605e+02 7.933712390000005144e+01 6.024886474999984785e+02 7.450136719000001904e+02 9.287633200642012525e+02 3.215988159333331282e+02 4.650431671500000448e+02 6.436839599999984785e+02 8.150477973142005794e+02 9.862592994641963742e+02 3.974676514000002499e+02 1.330783080999999584e+02 8.906858206642009463e+02 2.680603332999999111e+02 4.921919861000005767e+02 6.856456909000007727e+02 4.812079773000004934e+02 6.436690063999994891e+02 8.250631858141987323e+02 9.426209860642011336e+02 3.349686889999993582e+02 4.875639953999998397e+02 6.062498169000009511e+02 8.075128546642008587e+02 9.688264838142004010e+02 3.687799988000006124e+02 5.320536499000008916e+02 6.788263550000010582e+02 9.255310060000010708e+01 2.700013732999996137e+02 4.450100098000002617e+02 5.740606690000013259e+02
