# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	
2.203013922029999705e+01 1.263430000108201057e-02 -2.233889999843086116e-02 1.501469999857363291e-02 -1.300049999917973764e-02 7.324199999857228249e-03 -1.129150000269873999e-02 1.129150000269873999e-02 -1.464839999971445650e-02
2.303013922029999705e+01 7.690400001592934132e-03 -2.337650000117719173e-02 1.702880000084405765e-02 -1.165770000079646707e-02 1.232910000180709176e-02 -1.599120000173570588e-02 1.666259999910835177e-02 -2.233879999766941182e-02
2.403013922029999705e+01 3.698425999997425606e-01 -3.829651666661675335e-01 3.648071666672194624e-01 1.525999996374594048e-04 -3.515117000018790350e-01 3.350017000005891532e-01 1.385495000067749061e-02 -1.718145000086224172e-02
2.503013922029999350e+01 5.907390166667028097e-01 -5.976054666662093950e-01 5.834859666653073873e-01 -6.205266666484021698e-03 -5.695902500004876856e-01 5.639140166658762610e-01 6.551100001729537325e-03 -5.533833334311566432e-03
2.603013922029999350e+01 1.336670000091544352e-02 -2.569579999908455648e-02 5.310000000463332981e-03 -1.129149999906076118e-02 7.019099997705779970e-03 1.953099999809637666e-03 -1.562500000000000000e-02 8.667000001878477633e-03
2.703013922029999350e+01 1.318354999966686592e-02 -2.468869999938760884e-02 -8.239500002673594281e-04 -1.550295000015466940e-02 1.815794999856734648e-02 -2.166700000088894740e-03 -1.498414999878150411e-02 -3.173850000166567042e-03
2.803013922029999350e+01 1.202399999965564348e-02 -1.968384999963745940e-02 -1.831000008678529412e-04 -1.501470000039262231e-02 2.166750000105821528e-02 -2.807650000249850564e-03 -2.001949999976204708e-02 8.545000000594882295e-04
2.903013922029999350e+01 2.783205000014277175e-02 -3.216554999926302116e-02 1.531984999928681646e-02 8.258056999984546565e-01 -8.334655999988171970e-01 -7.812500000000000000e-03 -7.995599999048863538e-03 1.525999996374594048e-04
3.003013922029999350e+01 8.246154499993281206e-01 -6.491902666663236232e-01 -1.674600833333670380e-01 8.851623499995184829e-01 -8.989563499999349006e-01 -3.049999941140413284e-05 -1.034545000038633589e-02 -3.295900000011897646e-03
3.103013922029999350e+01 1.253356999986863229e-01 -1.269836999999824911e-01 5.004900001949863508e-03 1.004943999978422653e-01 -1.148375999982818030e-01 6.652799998846603557e-03 -1.495359999898937531e-02 -7.019100001343758777e-03
3.203013922029999350e+01 5.004800001188414171e-03 -8.300699999381322414e-03 5.981399997835978866e-03 -2.001949999976204708e-02 4.638599999452708289e-03 6.347700000333134085e-03 -1.367190000019036233e-02 -1.098629999978584237e-02
3.303013922029999350e+01 1.980590000130177941e-02 -2.328485000180080533e-02 6.622299999435199425e-03 -9.796199998163501732e-03 -3.050000123039353639e-05 -3.631550000136485323e-03 -6.164599999465281144e-03 -1.016230000095674768e-02
3.403013922029999350e+01 2.236940000148024410e-02 -3.335575000164681114e-02 1.034550000076706056e-02 -1.333619999968504999e-02 5.462599998281802982e-03 -7.812449999619275331e-03 3.509500000291154720e-03 -1.217650000035064295e-02
3.503013922029999350e+01 2.117919999909645412e-02 -2.719119999892427586e-02 1.037649999489076436e-03 -1.119999999900755938e-02 1.037649999489076436e-03 -4.882850000285543501e-03 5.187499991734512150e-04 2.349900001718197018e-03
3.603013922029999350e+01 1.370239999960176647e-02 -2.001949999976204708e-02 -2.807599999869125895e-03 -9.033250000356929377e-03 3.540099998645018786e-03 -1.101689999813970644e-02 -1.831000008678529412e-04 4.852300000493414700e-03
3.703013922029999350e+01 5.645750001349369995e-03 -1.031490000241319649e-02 -5.981449996397714131e-03 -9.155300002021249384e-03 1.464845000009518117e-02 -3.033444999891798943e-02 6.988499999351915903e-03 6.164550000903545879e-03
