# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	vx_23	vx_24	
1.000000000000000000e+01 3.648037942739382894e-02 -3.243057868702683422e-01 1.005935884253644774e-02 6.510704843916670370e-02 7.340567693972457342e-01 7.347015632492752690e-01 6.820701269328272032e-02 7.470690019028355389e-01 2.017914878637519505e-01 7.403545540149654158e-01 1.702841229917259613e-01 4.191311196713617959e-02 -8.574525355347924205e-02 7.409276778125564178e-01 1.256948346224355875e-02 7.315135835075620152e-01 -3.804151056859628958e-03 -5.576548049562825293e-02 5.784778324189924353e-02 4.536630724104239593e-02 4.783345139935746282e-02 7.323251146596572170e-01 7.197263797924404738e-01 7.374844600889529644e-01 7.436185236522838693e-01
1.100000000000000000e+01 5.142651798718583106e-02 -2.655603237014467766e-01 1.866797994234233732e-02 6.036666090483298885e-02 6.989235813229991434e-01 6.991508778923442025e-01 -2.135923013047051969e-02 7.087288975482322062e-01 1.709265382875312933e-01 7.044796542026080521e-01 1.701330842398140475e-01 -2.288289587158899574e-02 -1.061588351162691818e-01 7.020182962282635053e-01 -1.547554096464767021e-02 6.952583268507041003e-01 3.863209490505193494e-02 -4.799021830825433987e-02 2.970104866625924989e-02 -4.585218250828165115e-02 -1.260620370129743664e-02 6.935117436641878852e-01 6.802345204369643072e-01 6.995175246177577355e-01 7.071894709680981439e-01
1.200000000000000000e+01 -8.934283611147556502e-04 -1.771321942094193080e-01 5.573931621083154375e-02 4.249946991636511379e-02 6.619776091065026069e-01 6.618795552968108620e-01 -1.087689213334572524e-01 6.677196976710567666e-01 1.391642668149616902e-01 6.683830835733968190e-01 1.694447732587102406e-01 -5.715146315350069089e-02 -1.257362105485627934e-01 6.611269651552208471e-01 -9.214443855333220856e-02 6.584391025162229516e-01 4.663838458048835678e-02 -7.163319446163694815e-02 -4.880354103646694641e-02 -3.909357484408880479e-02 -1.291627997395455342e-02 6.549116548341306077e-01 6.418572319126154557e-01 6.602604485468371864e-01 6.692432996259203293e-01
1.300000000000000000e+01 -2.198981847012058261e-02 -9.464060250127860618e-02 6.278966305085365018e-02 1.848605088448729630e-02 6.237089755959848159e-01 6.225481340338365754e-01 -1.170984771687492293e-01 6.248427529053370844e-01 1.442107907920132659e-01 6.312830942605260898e-01 1.330312751568514529e-01 -6.159754562782093074e-02 -1.521154877318404430e-01 6.194523337396995455e-01 -2.039244989072877545e-01 6.210919974659554477e-01 3.455017194581307127e-02 -1.182921877599517752e-01 -5.413103939901221101e-02 -1.372667775821255834e-02 -4.787248285219972144e-02 6.167375034481131779e-01 6.033191432118243380e-01 6.201002689586572192e-01 6.318176042162300110e-01
1.400000000000000000e+01 -2.627984003821060358e-02 -4.040565055141498441e-02 7.900681018782421128e-02 4.710981348271048308e-02 5.831448567981997178e-01 5.816950046948721198e-01 -5.721658307139156768e-02 5.797527116823680826e-01 1.346980067677562287e-01 5.908599364834264955e-01 1.097418823541633920e-01 -1.047481115991817785e-01 -1.871393122498840600e-01 5.747588462306373325e-01 -2.415133056749065865e-01 5.808237068357415822e-01 -3.004518114668651083e-02 -1.406756375298845174e-01 -4.388559534582121141e-02 -3.548609368556436550e-02 -6.368048936308724761e-02 5.767814765815236777e-01 5.614836706751830109e-01 5.767842706135917208e-01 5.918257959704419369e-01
1.500000000000000000e+01 -2.866243624415603514e-02 -7.122985082872549181e-03 5.939265446594922671e-02 1.014233300853379094e-01 5.443037240969837987e-01 5.428401595045532213e-01 -2.281290404752864265e-02 5.347070753927493092e-01 8.963753663553848672e-02 5.513741061192720672e-01 8.663597330465688806e-02 -9.856744834699596169e-02 -1.677802637922240492e-01 5.299143437214333119e-01 -2.716061753443392845e-01 5.420268746521220704e-01 -1.003478863000887775e-02 -1.256491531087630953e-01 -4.376632336344730978e-02 -9.842814237116914722e-02 -8.847856182804582359e-02 5.372363454179770459e-01 5.206245692382115431e-01 5.346087367752724306e-01 5.513401915718377788e-01
1.600000000000000000e+01 -1.199362157978052686e-02 3.914640876011041271e-02 3.563050999207272029e-02 1.453466992797512736e-01 5.045414445393688885e-01 5.039191272284462286e-01 -3.891261646179428740e-02 4.884685220885910395e-01 9.151832173085555633e-02 5.117491271858485291e-01 7.269019058372738762e-02 4.021549942895141089e-02 -4.218014179106412825e-02 4.845880338717655222e-01 -3.407443754278956516e-01 5.022058942455234209e-01 -5.394831180455650528e-03 -7.800207400343393827e-02 -4.101423051444888501e-02 -1.431124913140378041e-01 -1.104048961705283854e-01 4.965065652089047932e-01 4.790368125254697018e-01 4.916857605129809627e-01 5.092091739973182429e-01
1.700000000000000000e+01 1.765017608300889279e-03 8.247475946799369406e-02 6.729544100629583289e-03 1.397800610303503999e-01 4.638014380858342389e-01 4.635977703948651607e-01 -7.672438349456316142e-02 4.411264155243630469e-01 9.610602718708026460e-02 4.705775510223238478e-01 7.021259579245832383e-02 1.653644092826148659e-01 1.307359428252294620e-01 4.397462538413323130e-01 -3.518165182485628595e-01 4.612213454827869819e-01 -1.881921974019388696e-02 -4.575748487087413080e-03 -1.396707365937448556e-02 -9.618541238196884335e-02 -1.175021066027043676e-01 4.548912180848950770e-01 4.363370531682407294e-01 4.473784501642491529e-01 4.666140184526807455e-01
1.800000000000000000e+01 -2.595408765420962726e-03 6.790304022320790833e-02 1.397128366044358451e-02 1.385968189438882003e-01 4.210764065059199868e-01 4.203394824415877529e-01 -1.516307096817745004e-01 3.916353566142509735e-01 6.803945786346630997e-02 4.263187226420487308e-01 -8.685816618837108143e-04 1.842429537318047428e-01 2.898666794150382420e-01 3.943539699943605092e-01 -3.267664232245017786e-01 4.171254557052948564e-01 2.330626409435071489e-02 1.272815995630576513e-01 4.954213464700129438e-02 -5.615338712288758805e-02 -1.181786312050640830e-01 4.128246809503726134e-01 3.923953822882552678e-01 4.019856171397985789e-01 4.226207470336109107e-01
1.900000000000000000e+01 1.875475711044143415e-02 7.620404107912309710e-02 2.409624538526495933e-03 8.137706561521372561e-02 3.793972965298247346e-01 3.790246545302575765e-01 -1.956543096528690351e-01 3.433841492619532088e-01 4.579551375600268703e-02 3.822964180197310213e-01 -5.597169987928504037e-02 1.396694110236427477e-01 3.547247470551572746e-01 3.498730361645504550e-01 -3.245977975568031804e-01 3.726881383033728290e-01 3.950741591874227382e-02 2.347431877717484627e-01 1.159768017107148802e-01 -1.075280779950659599e-01 -9.392888796202994439e-02 3.723487386011597455e-01 3.499028759220298435e-01 3.555943151024866800e-01 3.770518247544368262e-01
