# r	vx_0	vx_1	vx_2	vx_3	vx_4	
1.211013238507216414e+02 4.417852499682339504e-05 -9.402191249997997411e-04 1.320194233332585903e-03 6.605929166713053703e-05 1.485168924999015786e-03
1.221013238507216414e+02 9.396745000049123271e-05 -2.901601833315510309e-04 1.159832933330705003e-03 -3.863229499984299981e-04 1.399797450001642653e-03
1.231013238507216414e+02 -2.244487083353306062e-04 -2.142382499914674456e-05 1.489351299998816023e-03 -3.055868250012281381e-04 1.641899441668414348e-03
1.241013238507216414e+02 -5.099410999973769988e-04 1.262986149999790163e-03 6.879787499994449327e-04 -1.171560250004404261e-04 1.339101825000398168e-03
1.251013238507216414e+02 -4.329523750002408863e-04 2.244775299999673610e-03 -4.718027250019076911e-04 4.824862500008748347e-04 1.265186300001005333e-03
1.261013238507216414e+02 6.496425001387251311e-06 1.822684250000747947e-03 -6.284741750023386435e-04 5.990438250009902160e-04 1.273810350001440377e-03
1.271013238507216414e+02 -1.639976249971368712e-04 1.514778124997974472e-03 -2.781791500001417911e-04 3.147974000003159797e-04 1.217282775001876779e-03
1.281013238507216556e+02 6.616546450000839602e-04 4.418814549993897072e-04 1.434316750001016737e-04 6.029629999993631195e-04 1.139029450001544227e-03
1.291013238507216556e+02 1.277310800003760970e-03 -7.249006750025728269e-04 3.283009416663844738e-04 9.513110833322571507e-04 5.834241250013291963e-04
1.301013238507216556e+02 1.508998424997116602e-03 -7.247414749981544082e-04 3.103546999991522201e-04 4.412684499984607261e-04 2.003139500025952311e-04
