# r	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	h_20	h_21	h_22	h_23	h_24	h_25	h_26	h_27	h_28	h_29	h_30	h_31	h_32	
1.350000000000000000e+01 2.395863189500000772e+02 5.209383545999990019e+02 3.079423139999994419e+01 2.983739929000003031e+02 5.775313110999995843e+02 4.583889774999994415e+01 3.313523255000000063e+02 6.112411194500000420e+02 1.197783355999999912e+02 3.953713074000006600e+02 6.720626831000008679e+02 1.904193267999999080e+02 4.821413269000004220e+02 -1.328515932000004796e+01 2.631246643000004042e+02 5.384895019499999762e+02 4.077985385000005181e+01 3.237310181000002558e+02 5.963796387000002142e+02 1.099718246499999168e+02 3.928750000000000000e+02 6.687133178999993106e+02 1.779083252000000357e+02 4.714393311000003450e+02 -2.585797426999999971e+01 2.430656737999997858e+02 5.061243286000008084e+02 1.561285215000000903e+01 2.947006530999997267e+02 5.701966553000002023e+02 7.616316219999998793e+01 3.477080077999999048e+02 6.309960022499999468e+02
1.450000000000000000e+01 2.395193177000001015e+02 5.212525024500000654e+02 3.120406530000002476e+01 2.986796570000001338e+02 5.778571472499997981e+02 4.578241730000002008e+01 3.308005066499995337e+02 6.120891723499998989e+02 1.204463310500000262e+02 3.948136749000004784e+02 6.715236816500000714e+02 1.908056641000002855e+02 4.816218414499999199e+02 -1.329095767000001160e+01 2.634380035499998485e+02 5.381419983499999944e+02 4.140607450000004519e+01 3.231811828499999137e+02 5.967108154499992452e+02 1.097421684500000083e+02 3.923543395999995482e+02 6.682523193000015453e+02 1.783719940000000861e+02 4.712424927000001844e+02 -2.608496402000014314e+01 2.433771667500000149e+02 5.055984802500006481e+02 1.558749299999999494e+01 2.951146545250001054e+02 5.696770019499999762e+02 7.651184850000004189e+01 3.471683349999993879e+02 6.305410155999998096e+02
1.550000000000000000e+01 2.393788376500001505e+02 5.210040283500002261e+02 3.182602024999999912e+01 2.984134979499999645e+02 5.772358398500000476e+02 4.532829859999992550e+01 3.311440125000008265e+02 6.127736817000004521e+02 1.211243209999997816e+02 3.941739960000004430e+02 6.708808289000007790e+02 1.914435043499997846e+02 4.819736634000000777e+02 -1.345215146999998979e+01 2.631181488000001991e+02 5.384886475000002974e+02 4.089567764999998190e+01 3.232968444999996791e+02 5.961173400999996375e+02 1.100243301000000429e+02 3.926539916999990965e+02 6.680899963499996375e+02 1.789748459499999171e+02 4.718880005999999412e+02 -2.579065246999994088e+01 2.427996673500001634e+02 5.058963318000005529e+02 1.539452510000000984e+01 2.943701629999995930e+02 5.700040282999998453e+02 7.711827089999997042e+01 3.474819946999996318e+02 6.300369873500003450e+02
1.650000000000000000e+01 2.390068359499996404e+02 5.215973510999992868e+02 3.149723439999996799e+01 2.990559997999998814e+02 5.768690185500008738e+02 4.501367379999999230e+01 3.314226837500000329e+02 6.130858154999996259e+02 1.214254837500000122e+02 3.945056762999993225e+02 6.712739867999989656e+02 1.920989989999998215e+02 4.823273468000006687e+02 -1.281628717000000961e+01 2.628178558499998871e+02 5.388670044000000416e+02 4.121810909999999240e+01 3.238371174999999198e+02 5.954570007499996791e+02 1.094738235500001338e+02 3.932676696999997148e+02 6.687200317999995605e+02 1.803197886333331041e+02 4.721829834000000119e+02 -2.632379451999997855e+01 2.421223297500000626e+02 5.062200012499997683e+02 1.510178619999999228e+01 2.936821594499997445e+02 5.702845153999996910e+02 7.679456330000004982e+01 3.481245117500002380e+02 6.297181396500000119e+02
1.750000000000000000e+01 2.393046569999996791e+02 5.219846801999992749e+02 3.179379470000003494e+01 2.993921661500003211e+02 5.775066528999996081e+02 4.565376280000009501e+01 3.308323516999998901e+02 6.125716552999983833e+02 1.208769913999999517e+02 3.949026794000001246e+02 6.719209900000005291e+02 1.927700042999999823e+02 4.818623048000008566e+02 -1.219244687000008298e+01 2.631430054000002201e+02 5.382725219999992987e+02 4.158346559999995407e+01 3.231883239500002674e+02 5.949113160000015341e+02 1.097856597999998485e+02 3.930116577000007965e+02 6.690716858499999944e+02 1.814473418999996284e+02 4.715551758000001428e+02 -2.602533267000012529e+01 2.415600127999996403e+02 5.056833191000005172e+02 1.558497623333333060e+01 2.931486511000002793e+02 5.696676635999992868e+02 7.625074769999991986e+01 3.487530212999990908e+02 6.303653564999985974e+02
1.850000000000000000e+01 2.395889816500002780e+02 5.222269897499991202e+02 3.209141165000005458e+01 2.988736571999997977e+02 5.778118591500006005e+02 4.595280459999992217e+01 3.302603455000007671e+02 6.124743449000003466e+02 1.214908409499998925e+02 3.951664887500000987e+02 6.715540161500011891e+02 1.924633484000000863e+02 4.820288391000003685e+02 -1.234698787000013454e+01 2.634674988000001576e+02 5.375865682333333098e+02 4.182740594999995665e+01 3.226733399000004283e+02 5.956208495999999286e+02 1.100888328999999430e+02 3.927288207999999941e+02 6.684653015000003506e+02 1.818960266000003685e+02 4.709926910499998485e+02 -2.574029842000010149e+01 2.425358835999992664e+02 5.059539947499997652e+02 1.641198919999999362e+01 2.934298400999996375e+02 5.690496826500002499e+02 7.592414475000009588e+01 3.490490264999998544e+02 6.307853394000012486e+02
1.950000000000000000e+01 2.389631500499999675e+02 5.219394836999999825e+02 3.154614260000005288e+01 2.994723511000001963e+02 5.771516723499989894e+02 4.544847110000000612e+01 3.308775024500000654e+02 6.113406982999986212e+02 1.221150054999998247e+02 3.949541473500003121e+02 6.718759766000002855e+02 1.928060150000001158e+02 4.817318268499993792e+02 -1.245514222000002746e+01 2.629289855999995780e+02 5.371965026999987458e+02 4.157830809999995836e+01 3.232903137499997683e+02 5.954479217749994859e+02 1.095093308000000434e+02 3.924368285999998989e+02 6.678351746000007552e+02 1.825328445499999361e+02 4.704700317999995605e+02 -2.635815737000001491e+01 2.441381607000002987e+02 5.056986542499998905e+02 1.666109090000003334e+01 2.931961670500004402e+02 5.683970336999991559e+02 7.565409855000007155e+01 3.485376586999991559e+02 6.309685058999984903e+02
2.050000000000000000e+01 2.383534851499998695e+02 5.224743041999990965e+02 3.218915755000000445e+01 2.999933624499999496e+02 5.765484924499996850e+02 4.562893680000001950e+01 3.313896636999998009e+02 6.119506530999988172e+02 1.223889960999997584e+02 3.956153259999991860e+02 6.722140197999997326e+02 1.931073456500002976e+02 4.824166564999995899e+02 -1.196347342000007075e+01 2.631773223999998663e+02 5.375700073000007251e+02 4.208746719999999186e+01 3.238071441500005676e+02 5.939388428000002023e+02 1.097198295499999858e+02 3.929831696000001102e+02 6.672103271500000119e+02 1.830318298000001960e+02 4.708640137999991566e+02 -2.687835997000001953e+01 2.446553268500001650e+02 5.071353454999989481e+02 1.706385799999998198e+01 2.936941833500004577e+02 5.678473511999982293e+02 7.615982435000000805e+01 3.487839965499997561e+02 6.303918457500003569e+02
2.150000000000000000e+01 2.378296662000002470e+02 5.219583129999991797e+02 3.280773550000003524e+01 2.994223328000007314e+02 5.760366820999988704e+02 4.535902599999997165e+01 3.308456726000003982e+02 6.126036377000018547e+02 1.221408310000001620e+02 3.960373534999998810e+02 6.715533447500001785e+02 1.925673218000001725e+02 4.819936371000003419e+02 -1.253467097000009289e+01 2.627523194000004878e+02 5.370161743499993463e+02 4.155891040000005887e+01 3.232906493999998929e+02 5.934420166000018071e+02 1.095089835999999650e+02 3.924313354999994772e+02 6.658851928999993106e+02 1.825149994000003062e+02 4.703264923500000805e+02 -2.671283262000014247e+01 2.440328369000008024e+02 5.077170104999986506e+02 1.718578439999998864e+01 2.931363220000002912e+02 5.682686767999985022e+02 7.563433080000004338e+01 3.485581665499994415e+02 6.299153441999987990e+02
2.250000000000000000e+01 2.382410125999995216e+02 5.216015014499989775e+02 3.242737199999999120e+01 2.990603332999999111e+02 5.764910278999996081e+02 4.606628419999992730e+01 3.312799988000006124e+02 6.130396728999985498e+02 1.228549958000003244e+02 3.966431732499995633e+02 6.710950316999987990e+02 1.931311493500002143e+02 4.822496643000013137e+02 -1.209631647000014709e+01 2.634568328999994264e+02 5.375354919499986863e+02 4.199268340000003263e+01 3.229118347499997981e+02 5.940566711499996018e+02 1.100743294499998228e+02 3.920523071999996318e+02 6.639751587499995367e+02 1.829573363999998037e+02 4.708558502500000031e+02 -2.706463927000015701e+01 2.434010010000001785e+02 5.086996765000003506e+02 1.680136489999995320e+01 2.935753478999995423e+02 5.689060059000003093e+02 7.612770839999984673e+01 3.491065216500001043e+02 6.306235351999985141e+02
