# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	vx_23	vx_24	vx_25	vx_26	vx_27	vx_28	vx_29	vx_30	vx_31	
2.203013922029999705e+01 5.095140151000013967e-02 5.200396424000009593e-02 5.151323224283987923e-02 5.063606414000007550e-02 5.067370301000009847e-02 5.182362500283961559e-02 5.138430177000011256e-02 4.963305968000004259e-02 5.320786879283987553e-02 5.127413940000026538e-02 5.203103026999997271e-02 5.202122785283936485e-02 5.048490448000068215e-02 5.282659606999987045e-02 5.257432844283976142e-02 5.062363433000011820e-02 5.087616579000023287e-02 5.213756542283983636e-02 5.248832701999990580e-02 5.101726685000030487e-02 5.199592879283991553e-02 5.237086943000015399e-02 5.213319702000007716e-02 5.104322340283981574e-02 4.997547302000002883e-02 5.096035234283990273e-02 5.306987974000005465e-02 5.081266478000016212e-02 5.270183850283972210e-02 5.118842772999983304e-02 5.131313478000010947e-02 5.137968465284029757e-02
2.303013922029999705e+01 5.101126403999987902e-02 5.182847290000026919e-02 5.152072583283952290e-02 5.078973694000035038e-02 5.049286498000001011e-02 5.203386367284038028e-02 5.120079953999977229e-02 4.993930055499986448e-02 5.288979168784026241e-02 5.121463775999984813e-02 5.227153624999973658e-02 5.196325818284022041e-02 5.053239746999990678e-02 5.277546996999990525e-02 5.245992566284003039e-02 5.079580078000019844e-02 5.087373657999996746e-02 5.213272839283984023e-02 5.225516358000022871e-02 5.125137329999997909e-02 5.215962124783982135e-02 5.219303816500016346e-02 5.191863099000001980e-02 5.111703626283981700e-02 5.029582519499999765e-02 5.074031889784019062e-02 5.312691268000000605e-02 5.075412597999966191e-02 5.277176877284021211e-02 5.094586868000005458e-02 5.153143617999994541e-02 5.122653103284028481e-02
2.403013922029999705e+01 5.100853423999997249e-02 5.166840209999973288e-02 5.154582502284028867e-02 5.079923553999981384e-02 5.049732970000022497e-02 5.218786452283930011e-02 5.103366393000071527e-02 5.029190063999976895e-02 5.271482984284084350e-02 5.099610290999919554e-02 5.223866577000026157e-02 5.213216381283927725e-02 5.045796204000073393e-02 5.267383424000017522e-02 5.250766735283977915e-02 5.076292725000005474e-02 5.107300414999990656e-02 5.202212507284004889e-02 5.218476713999989358e-02 5.132043458000007385e-02 5.249193097284005766e-02 5.201903533999995694e-02 5.169312438999986575e-02 5.106075575617331774e-02 5.067551268666660447e-02 5.051779462284030492e-02 5.307433624999978450e-02 5.071033020000013242e-02 5.299146939283994051e-02 5.087836837999994144e-02 5.142929077999978948e-02 5.122334615284016707e-02
2.503013922029999350e+01 5.100829773000004758e-02 5.149389953999998493e-02 5.177746412284031652e-02 5.073999939999941644e-02 5.049323119000036914e-02 5.201969433283957361e-02 5.126466981000032952e-02 5.023683470999967815e-02 5.276676162284093391e-02 5.100400391999958261e-02 5.199133299999957741e-02 5.227029246284000535e-02 5.050666810000022794e-02 5.249680176000001697e-02 5.251002637283963548e-02 5.076925963000050723e-02 5.123887329999998047e-02 5.202435895283981371e-02 5.224817048000004321e-02 5.125403442999995618e-02 5.249669172284011226e-02 5.200993192999978781e-02 5.175059204999997442e-02 5.101960583284000789e-02 5.049506225999975811e-02 5.051028691284008970e-02 5.324554940000036929e-02 5.077210082000019331e-02 5.298924925283970272e-02 5.078138198999990888e-02 5.147003174000037984e-02 5.128488446283990809e-02
2.603013922029999350e+01 5.098716735999996724e-02 5.149719848000022804e-02 5.185456068283965381e-02 5.068633117000010541e-02 5.049179992999997674e-02 5.202712842284017841e-02 5.131497193999969009e-02 5.017446593000004368e-02 5.275309125283966089e-02 5.108567658000049555e-02 5.199485779999995366e-02 5.220386639284006064e-02 5.049533537999979782e-02 5.248076173000008893e-02 5.254129773284076099e-02 5.083279723999933192e-02 5.116856995999987529e-02 5.201872693284024379e-02 5.228013915999963485e-02 5.118892822000052634e-02 5.252982771283932345e-02 5.198529814000014265e-02 5.175839234000013944e-02 5.101580640284011925e-02 5.053506775000005113e-02 5.046797896284006130e-02 5.327851591000001136e-02 5.074550476999993565e-02 5.299551108283994533e-02 5.079124869999998571e-02 5.144723204000001965e-02 5.137470763284000125e-02
2.703013922029999350e+01 5.079606628000001706e-02 5.145119629000000777e-02 5.202496320284007852e-02 5.075349883999972361e-02 5.048146362000043019e-02 5.203480359284003154e-02 5.129813233999978156e-02 5.018739624000009142e-02 5.252686291283971409e-02 5.130127564000015045e-02 5.198826293999955078e-02 5.222658827284103883e-02 5.049067381999941539e-02 5.224432984999984736e-02 5.278039684284049210e-02 5.076773070999972964e-02 5.123634033000016436e-02 5.201545547283951965e-02 5.226547240000035954e-02 5.105752563999958749e-02 5.268452893284084060e-02 5.178593139999959627e-02 5.172316893999959891e-02 5.101616347284018693e-02 5.075757445000017576e-02 5.023718072283991226e-02 5.351257647999975442e-02 5.051445923999999671e-02 5.300449659284015708e-02 5.101856993999999423e-02 5.130657146000001251e-02 5.153785623283995559e-02
2.803013922029999350e+01 5.065533905000006720e-02 5.120642394000023828e-02 5.200879957283905536e-02 5.081026916000066368e-02 5.049766235999995911e-02 5.201986829284069302e-02 5.124512939999933958e-02 5.024613036000009914e-02 5.252266371284058238e-02 5.148420410999917513e-02 5.198473510000003323e-02 5.204759046283979895e-02 5.065300599000022164e-02 5.205272520999969926e-02 5.297183515284050598e-02 5.054556732000003300e-02 5.128706056000009728e-02 5.203173351283969794e-02 5.222757263000021161e-02 5.124783023000017979e-02 5.267712230283941310e-02 5.159653625000012317e-02 5.177223509999966805e-02 5.101269667284052262e-02 5.072512816999987656e-02 5.027054274283945801e-02 5.350959168000065519e-02 5.050100096000023631e-02 5.316686384283964006e-02 5.099572601999993737e-02 5.109731749666705097e-02 5.177217314617275912e-02
2.903013922029999350e+01 5.039207967000008254e-02 5.117890015000011589e-02 5.200616284283969548e-02 5.081533508999985099e-02 5.050306396000014270e-02 5.202616711284027001e-02 5.117986145000015530e-02 5.008290100999947952e-02 5.250502608284041139e-02 5.173480070999960517e-02 5.199520264000020986e-02 5.202249281284020838e-02 5.051203611999974252e-02 5.200139770000023615e-02 5.302626479283935323e-02 5.067006531000026875e-02 5.129399718000022396e-02 5.204360029283982420e-02 5.217966766999997813e-02 5.141435750000029892e-02 5.258300255283999969e-02 5.151770171000009946e-02 5.182436829999969435e-02 5.099649183284020448e-02 5.069317015999968284e-02 5.032134219283980470e-02 5.350672006000042891e-02 5.049660340999980596e-02 5.321426564284015281e-02 5.097878988999998695e-02 5.083576661999977819e-02 5.212076371950679493e-02
3.003013922029999350e+01 5.049669799999974285e-02 5.101437684000047906e-02 5.200218945283995725e-02 5.074779968999994229e-02 5.051436766999977540e-02 5.201229993284032377e-02 5.135819091999967168e-02 4.991046751999965447e-02 5.249080031284029252e-02 5.175116882000022761e-02 5.199593506999954096e-02 5.202812176283987122e-02 5.071673736000031907e-02 5.177160340000009492e-02 5.303126050284008575e-02 5.072489929000023601e-02 5.125326538999979559e-02 5.227229748283991617e-02 5.201250000000000318e-02 5.149512939999986022e-02 5.250819837284070868e-02 5.150379637999960569e-02 5.176281738999968796e-02 5.100384657284014189e-02 5.075993040999983441e-02 5.024782346284045742e-02 5.351657913999972871e-02 5.049243468999993489e-02 5.326395245284004654e-02 5.114583893000017312e-02 5.061040650999984458e-02 5.225181409284013895e-02
3.103013922029999350e+01 5.029106597999989658e-02 5.122047119000053272e-02 5.200685866283966119e-02 5.069643553000007657e-02 5.051083068999978609e-02 5.201663495284046534e-02 5.141786041999969054e-02 4.990193786999953113e-02 5.226542798284063152e-02 5.188149719999948783e-02 5.203990478000050657e-02 5.202129194283988678e-02 5.079870147999993035e-02 5.169659728000006171e-02 5.284716626284025748e-02 5.096233215999948496e-02 5.119750365999971298e-02 5.211079237284031718e-02 5.203976440000024350e-02 5.145786743999997137e-02 5.251016369284043639e-02 5.173339844999921139e-02 5.170510254000073441e-02 5.100629712283937661e-02 5.061709292000014099e-02 5.039633635283971569e-02 5.350329877000024187e-02 5.046237180999996880e-02 5.311616614284003085e-02 5.143472021999998672e-02 5.032709961000000204e-02 5.254705717284013922e-02
