# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	vx_23	vx_24	vx_25	vx_26	vx_27	vx_28	vx_29	vx_30	vx_31	vx_32	
1.050000000000000000e+01 5.920105000000148721e-01 -6.221771499999704247e-01 3.093414999998458370e-01 1.348874999985127943e-02 2.369936828500003685e+02 2.502449999610689702e-03 -2.370235137999998187e+02 2.370000152500006152e+02 -2.373053284000006897e+02 3.128204500003448629e-01 -1.159650000317924423e-03 -3.318328999994264450e-01 3.494249999675957952e-03 3.316802999997889856e-01 -3.358458999996400962e-01 2.372946776999997383e+02 -2.373066863499998362e+02 3.060149499997351086e-01 -3.103484999996908300e-01 2.373041686499996104e+02 -2.372941435999996429e+02 2.956542500000978180e-01 -1.635740000028818031e-02 5.355849999887141166e-03 1.174900000023626490e-03 2.149965000035081175e-02 -1.530000008642673492e-05 -1.316830000041591120e-02 2.369678345000006630e+02 -2.370051575000002231e+02 6.500250000044616172e-03 -1.733400000011897646e-02 0.000000000000000000e+00
1.150000000000000000e+01 6.738434499998220417e-01 -7.041779499995755032e-01 6.983944999956293032e-02 9.674099999756435864e-03 2.372109986000004938e+02 5.676200000380049460e-03 -2.372373657000007370e+02 2.372123413000008441e+02 -2.372749939000004815e+02 7.034300000032089883e-02 3.326399999423301779e-03 -9.550474999969083001e-02 1.678499999798077624e-03 9.950255000012475648e-02 -1.015014500003417197e-01 2.372668151499997293e+02 -2.372859954499995183e+02 7.566834999988714117e-02 -2.701873999994859332e-01 2.374768523999991885e+02 -2.372723082999991675e+02 5.932609999945270829e-02 -2.233879999948840123e-02 1.531979999981558649e-02 -2.319299999726354145e-03 2.133179999964340823e-02 -7.995699999810312875e-03 -7.354700000178127084e-03 2.371900024999995367e+02 -2.372266540999999052e+02 0.000000000000000000e+00 -1.034549999985756585e-02 0.000000000000000000e+00
1.250000000000000000e+01 8.066711499996017665e-01 -8.260193500000241329e-01 4.514669000000139931e-01 1.721193333378323587e-02 2.370539957666660484e+02 -6.317149999631510582e-03 -2.370801086166669052e+02 2.370564422166665395e+02 -2.375006866499998068e+02 8.155060000003686582e-01 7.522599999902013224e-03 -8.386841000005915703e-01 -1.565549999941140413e-02 8.569793499996194441e-01 -8.416595499998038576e-01 2.374891662499994709e+02 -2.375201720499999283e+02 8.278350500004307833e-01 -6.274261499999624903e-01 2.373110961999997812e+02 -2.374974670999999944e+02 8.092956999998932588e-01 -2.233884999986912590e-02 1.184080000030007795e-02 -3.967250000187050318e-03 1.928705000000263681e-02 -3.652445166667348531e-01 -1.377359999997906925e-02 2.370418599666666637e+02 -2.370722147666668320e+02 3.690744666667455931e-01 -3.783925333333968410e-01 0.000000000000000000e+00
1.350000000000000000e+01 -2.682494999999107677e-02 1.216124999973544618e-02 -8.756866499998068321e-01 2.072150000003603054e-02 2.387476196000006894e+02 -1.647900000534718856e-03 -2.387710267000002204e+02 2.387463685000002442e+02 -2.378785096000001431e+02 -1.234429999976782710e-02 2.517649999845161801e-03 -1.068114999998215353e-02 -3.646800000296934741e-03 2.148434999980963767e-02 -2.183534999949188204e-02 2.378680114999992838e+02 -2.378845062499990490e+02 -1.116940000019894796e-02 8.666999999604740879e-03 2.378796539500003746e+02 -2.378591462000003958e+02 -2.900694999971165089e-02 -2.017210000030900119e-02 7.659900000362540595e-03 -2.975449999667034717e-03 2.281184999947072356e-02 -8.565063500000178465e-01 -2.066039999954227824e-02 2.387366638999992574e+02 -2.387619629000000714e+02 8.686523000005763606e-01 -8.776854999996430706e-01 0.000000000000000000e+00
1.450000000000000000e+01 -1.081844999998793355e-02 6.683350000457721762e-03 -2.420040000015433179e-02 1.969904999987193150e-02 2.378776550499992481e+02 -1.782224999897152884e-02 -2.378793640500002766e+02 2.382395172499996079e+02 -2.382401428499997564e+02 -1.066584999989572680e-02 1.863094999998793355e-02 -2.780155000027662027e-02 1.763915000037741265e-02 5.706800000098155579e-03 -3.001400000039211591e-02 2.378576355500003956e+02 -2.378626099500002056e+02 -1.535035000006246264e-02 9.124799999881361146e-03 2.382320099000007758e+02 -2.382068481500004964e+02 -2.897649999977147672e-02 -1.564020000023447210e-02 2.487149999979010317e-03 1.130680000005668262e-02 1.100159999987226911e-02 -6.500250000044616172e-03 -2.116395000030024676e-02 2.382280120500008707e+02 -2.382593078500008232e+02 2.012635000028240029e-02 -2.134709999972983496e-02 0.000000000000000000e+00
1.550000000000000000e+01 4.309996999995746592e-01 -2.151488999993489415e-01 1.001433999995242630e-01 -3.134765999998307962e-01 2.379199981999990996e+02 -2.532959999916784000e-02 -2.374831695500006390e+02 2.387209930500002883e+02 -2.391568297999997412e+02 1.996764999998958956e-01 1.565560000017285347e-02 -2.932739999960176647e-02 1.965319999999337597e-02 2.338561999995363294e-01 -2.568664000000353553e-01 2.376866760000002614e+02 -2.374754790500005583e+02 -2.205047499996908300e-01 1.199339999948279001e-02 2.389253386500004126e+02 -2.391166686999995363e+02 1.733246499998131185e-01 -2.350007000000005064e-01 2.293244999996204569e-01 2.349800000047252979e-03 2.264399999967281474e-02 -9.643599999435537029e-03 -2.966310000010707881e-02 2.389378204499998901e+02 -2.389631499500001155e+02 -8.169559999942066497e-02 7.833859999982450972e-02 0.000000000000000000e+00
1.650000000000000000e+01 1.443328800000017509e+00 -2.008361500002138200e-01 1.814880499996434082e-01 -1.412323000000469619e+00 2.378603515000013431e+02 -1.202390000071318354e-02 -2.364302977999996074e+02 2.374456480999997439e+02 -2.388983459000010043e+02 1.224502550000579504e+00 -1.140151950000017678e+00 1.131164550000448799e+00 2.416989999937868561e-02 2.189941500005261332e-01 -2.385100999995302118e-01 2.366115264999984902e+02 -2.364070129999981873e+02 -2.278442000015274971e-01 -1.147827149999102403e+00 2.388020019499999762e+02 -2.388460083000009035e+02 1.190658550000534888e+00 -1.259994450000249344e+00 9.483330000011847005e-02 1.151855500000692700e+00 2.880859999913809588e-02 -1.275263499999425676e+00 1.247126299999024468e+00 2.376423187000013968e+02 -2.376713409500007401e+02 2.198795000066411376e-02 -2.980045000066411376e-02 0.000000000000000000e+00
1.750000000000000000e+01 3.953094500002407585e-01 -2.822899999955552630e-03 -2.700805000040418236e-02 -3.663482499996462138e-01 2.377491912999994383e+02 -7.324199999857228249e-03 -2.373679962500000329e+02 2.374664917000000059e+02 -2.378697051999997711e+02 3.574472999998761225e-01 -3.507181499999205698e-01 3.729705499999909080e-01 1.049805000002379529e-02 2.218629999970289646e-02 -3.535464999913529027e-02 2.373435058499990191e+02 -2.373488158999998632e+02 -2.117920000000594882e-02 -3.913268999995125341e-01 2.378618164499994236e+02 -2.378313140999998723e+02 3.701324000003296533e-01 -4.281768999999258085e-01 1.300050000008923234e-02 3.988648000004104688e-01 2.664179999919724651e-02 -3.905893666663473596e-01 3.539530666660652969e-01 2.374691467000002376e+02 -2.374853210499995839e+02 2.670299999408598524e-03 -6.835949999185686465e-03 0.000000000000000000e+00
1.850000000000000000e+01 -2.072140000018407591e-02 -3.631600000517209992e-03 -2.267459999893617351e-02 2.731329999915033113e-02 2.366296844000007695e+02 -1.048280000122758793e-02 -2.366474914000000354e+02 2.366224822500007576e+02 -2.366138763500002824e+02 -1.498410000021976884e-02 1.403810000010707881e-02 -2.102659999945899472e-02 6.011899999066372402e-03 1.901250000082654878e-02 -2.499390000048151705e-02 2.366011657000008199e+02 -2.366161804000012125e+02 -1.766969999880529940e-02 1.434329999938199762e-02 2.366036377500004164e+02 -2.365846252499995899e+02 -2.203370000097493175e-02 -3.500369999892427586e-02 1.632689999860303942e-02 6.378200001563527621e-03 2.597040000000561122e-02 -1.663200000075448770e-02 -2.200319999974453822e-02 2.366126403999996910e+02 -2.366219788000007611e+02 -2.685499999643070623e-03 1.342700001259800047e-03 0.000000000000000000e+00
1.950000000000000000e+01 -2.319329999954788946e-02 6.866449999506585300e-03 -2.784729999984847382e-02 2.581790000022010645e-02 2.365388334999988729e+02 -9.546203333326843676e-01 -2.356168518166671788e+02 2.355982564500006333e+02 -2.355774434000001634e+02 -2.650455000002693851e-02 1.353455000025860500e-02 -1.919559999987541232e-02 1.884464999875490321e-02 -8.239999988290946931e-04 -1.300045000061800238e-02 2.355571746999997345e+02 -2.355776672999994048e+02 -9.841899999628367368e-03 2.282715000001189765e-02 2.355609792166660554e+02 -2.355474752166664985e+02 -3.051754999978584237e-02 -3.866574999938166002e-02 3.283689999989292119e-02 -5.813600000692531466e-03 2.948000000014872057e-02 -1.831055000093328999e-02 -9.674099998846941162e-03 2.355728505666666024e+02 -2.355990193666675623e+02 -5.996699998831900302e-03 4.882499997620470822e-04 0.000000000000000000e+00
