# r	h_0	h_1	
8.450000000000000000e+01 2.576905059999990044e+02 3.422153168000004371e+02
8.550000000000000000e+01 2.571959839000010106e+02 3.415623169000027701e+02
8.650000000000000000e+01 2.574328308500007552e+02 3.409355163500003982e+02
8.750000000000000000e+01 2.571940002999981516e+02 3.403680115000024671e+02
8.850000000000000000e+01 2.567636719000001904e+02 3.399286500000016531e+02
8.950000000000000000e+01 2.561180038499987859e+02 3.393059997500022291e+02
9.050000000000000000e+01 2.555226897999964422e+02 3.387146607000031509e+02
9.150000000000000000e+01 2.549225082500015560e+02 3.383139953999998397e+02
9.250000000000000000e+01 2.551143493999989005e+02 3.380426788999975543e+02
9.350000000000000000e+01 2.551590195499993570e+02 3.382908324999989418e+02
9.450000000000000000e+01 2.545940170499998203e+02 3.377576751999986300e+02
9.550000000000000000e+01 2.550956879000004847e+02 3.382413329999981215e+02
9.650000000000000000e+01 2.546950225999971735e+02 3.378166503999964334e+02
9.750000000000000000e+01 2.540460205500021402e+02 3.371819762999984960e+02
9.850000000000000000e+01 2.534489898999963771e+02 3.365263672000000952e+02
9.950000000000000000e+01 2.530959930000026361e+02 3.359428558500003419e+02
1.005000000000000000e+02 2.524973374000001058e+02 3.353096618999989005e+02
1.015000000000000000e+02 2.518856812000012724e+02 3.348800049999990733e+02
1.025000000000000000e+02 2.512310104500029411e+02 3.345269928000016080e+02
1.035000000000000000e+02 2.505513305999993463e+02 3.352150116000011622e+02
1.045000000000000000e+02 2.500969849000030081e+02 3.357633361999978661e+02
1.055000000000000000e+02 2.499440002500014089e+02 3.350825195500001428e+02
1.065000000000000000e+02 2.502298583999981929e+02 3.344586487000051420e+02
1.075000000000000000e+02 2.495166930999985198e+02 3.342613677999979700e+02
1.085000000000000000e+02 2.491246947999970871e+02 3.347540282999980263e+02
1.095000000000000000e+02 2.484568481499991321e+02 3.340533600499984459e+02
1.105000000000000000e+02 2.487195205499992881e+02 3.342963257000010344e+02
1.115000000000000000e+02 2.501381645500005106e+02 3.348191528500028653e+02
1.125000000000000000e+02 2.514734878499984916e+02 3.353163452000007965e+02
1.135000000000000000e+02 2.511219788000016706e+02 3.355193329000030644e+02
1.145000000000000000e+02 2.508314896000010776e+02 3.358334809000007226e+02
1.155000000000000000e+02 2.513656616000007489e+02 3.364574737500006449e+02
1.165000000000000000e+02 2.511743392999997013e+02 3.369306642000010470e+02
1.175000000000000000e+02 2.513951721499979612e+02 3.369768219500037958e+02
1.185000000000000000e+02 2.508294983499981754e+02 3.364463348499994026e+02
1.195000000000000000e+02 2.514173279000024195e+02 3.377483368249995692e+02
1.205000000000000000e+02 2.510023346000016318e+02 3.390093384000065271e+02
1.215000000000000000e+02 2.503395004499980132e+02 3.395935058500035666e+02
1.225000000000000000e+02 2.497343445000005886e+02 3.390308380499991472e+02
1.235000000000000000e+02 2.502443466500008071e+02 3.392936554000043543e+02
1.245000000000000000e+02 2.499203492000015103e+02 3.407444992249984352e+02
1.255000000000000000e+02 2.495901718499990238e+02 3.420478210500004934e+02
1.265000000000000000e+02 2.499444885000011709e+02 3.417566529000032460e+02
1.275000000000000000e+02 2.505471572999995260e+02 3.414384918499999912e+02
1.285000000000000000e+02 2.513589934999981779e+02 3.419563293999963207e+02
1.295000000000000000e+02 2.511409836499988160e+02 3.417000122500030557e+02
