# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	vx_23	vx_24	vx_25	vx_26	vx_27	vx_28	vx_29	vx_30	vx_31	
1.050000000000000000e+01 1.501895139999942248e-03 1.373290000083216101e-06 4.992679999941174353e-06 8.055102540000007999e-03 -3.112976099999287000e-04 1.810931409999920949e-03 2.282767028000007650e-02 4.343298340000001020e-03 -1.599120000173570592e-06 -2.192686999997022138e-05 2.732847000015681182e-05 -1.929623999994874037e-05 2.262268000004041843e-05 -3.857440000319911589e-06 -2.123411999982636358e-05 2.275999999983468859e-05 -1.989439999988462782e-05 2.450256000001900275e-05 3.903198000007250632e-05 9.674200000517886166e-07 1.531979999890609279e-06 -6.286621000008381420e-05 -7.019999993644887154e-08 7.007139999996069902e-05 -1.809689999845431893e-06 -6.709288000010929563e-05 6.652699999904143671e-07 6.766967999992630023e-05 -3.662099999928614131e-07 2.731320000020787170e-06 1.342800000202259907e-07 -3.738399999838293434e-06
1.150000000000000000e+01 1.502099619999899089e-03 4.974299999958020796e-07 5.166630000076111194e-06 8.092105099999843953e-03 -1.745361399996909417e-04 1.639529429999856715e-03 2.289147032999990297e-02 4.295666500000152460e-03 -2.667220000148518099e-06 1.336660000015399489e-06 3.735360000064247461e-06 5.731200000082026110e-06 -2.740479999920353213e-06 -3.460700000141514389e-06 2.203379999991739127e-06 -1.141360000110580519e-06 3.143300000010640470e-06 9.948800001438940354e-07 1.000980000026174913e-06 -3.131100000246078714e-06 2.868640000087907399e-06 9.277400000428315655e-07 -4.638599999452708447e-07 6.597899999906075872e-06 -8.728199998586206221e-07 -3.723140000147395828e-06 1.666259999910835164e-06 2.795420000256853927e-06 -4.638800000975607209e-07 2.929700000095181181e-06 1.202379999813274549e-06 -6.140120000054594245e-06
1.250000000000000000e+01 1.464730830000007767e-03 6.042600000000674838e-07 7.128919999922800749e-06 8.005667089999951233e-03 -5.633549999947718206e-06 1.280633560000023772e-03 2.306626280000018472e-02 4.327938849999918465e-03 -1.867680000032123730e-06 -1.647900000534718750e-07 4.833990000042831859e-06 3.634630000124161778e-06 -3.601060000073630331e-06 6.988399998590466531e-07 -2.099599999928613950e-06 9.002599999803351137e-07 2.102659999945899539e-06 2.600110000093991600e-06 8.972099998572957256e-07 -4.000849999829370284e-06 2.636709999933373186e-06 6.317200000921730084e-07 -2.014200001212884606e-07 7.266239999989920554e-06 -3.631600000517209740e-07 -4.434209999817540315e-06 7.995699999810312851e-07 4.132079999908455306e-06 -3.356999999596155023e-07 9.674099999756436785e-07 2.233879999948840258e-06 -4.867549999835318677e-06
1.350000000000000000e+01 1.793465571999877314e-03 4.736320000347404630e-07 7.113032000052043772e-06 8.039157720000002227e-03 -1.988800060001494807e-04 9.565032900000005082e-04 2.313932495999997466e-02 4.517807000000175627e-03 -3.533930000048713011e-06 1.068120000127237383e-06 4.666129999714030322e-06 2.432250000128988174e-06 -2.597049999894806957e-06 2.227789999960805475e-06 -2.893070000027364569e-06 6.988499999351915912e-07 4.589850000047590317e-06 7.080100000166566895e-07 4.239196999988052901e-05 -3.198239999983343498e-06 4.077139999935753126e-06 -7.385199998680037042e-07 7.934599998407066258e-07 6.408680000095046014e-06 -1.666259999910835164e-06 -2.075200000035692751e-06 6.714000010106246986e-08 5.609139999796753226e-06 -1.544179999837069666e-06 6.713800001307390264e-07 1.129139999829931201e-06 -3.057859999898937680e-06
1.450000000000000000e+01 2.003796379999949005e-03 1.162719999956607374e-06 7.470719999946595443e-06 8.042501820000325097e-03 -3.806640600003447666e-04 8.843597300001419673e-04 2.314503174000001259e-02 4.334170540000013491e-03 -4.602040000099805456e-06 3.399640000134241031e-06 2.667239999937009866e-06 1.666280000063125040e-06 -1.263440000184346017e-06 3.198239999983343498e-06 -5.462639999677776230e-06 1.509338199997728219e-04 5.395520000092801746e-06 -1.471313400001235936e-04 3.459776000017882551e-05 -2.334590000100433751e-06 4.238889999942330101e-06 -8.667000000059488168e-07 7.629400000951136220e-07 7.840576000016881496e-05 -7.507019000004220015e-05 -1.437380000061239077e-06 -1.095580000037443747e-06 4.998779999914404546e-06 1.648000001296168131e-07 1.367179999942891230e-06 -7.324299998799688152e-07 -1.464830000259098612e-06
1.550000000000000000e+01 2.004992680000032123e-03 1.342799998383270682e-07 5.603020000125980158e-06 8.046472159999757193e-03 -2.122009199996682523e-04 7.186584399998537749e-04 2.313706057999988935e-02 4.316345200000068667e-03 -5.603039999914472348e-06 5.468760000076144671e-06 3.295799997431459049e-07 2.868660000240197275e-06 -1.867680000214022573e-06 4.333500000211643139e-06 -6.402600000001257326e-06 2.523376499999358132e-04 3.930670000045211156e-06 -2.465332000001580967e-04 -5.133059999934630855e-06 5.370999999286140867e-07 3.930680000121355882e-06 -1.464860000123735528e-06 1.129159999982221077e-06 2.526062000002639090e-04 -2.497375400000237389e-04 -2.197280000109458249e-06 5.981599999358877626e-07 2.667220000148518099e-06 2.197279999745660562e-06 1.733400000011897634e-06 -2.734379999674274649e-06 -1.129160000346018975e-06
1.650000000000000000e+01 1.981503289999909413e-03 3.003236000022298097e-05 6.631469999956607742e-06 8.040573120000045135e-03 -1.977355900000475326e-04 7.027587900000070850e-04 2.313916626000009358e-02 4.326443479999943567e-03 -5.599980000079085814e-06 6.857300000046961598e-06 4.333500000939238829e-07 -7.536620999999285532e-05 7.600401999989117401e-05 3.802489999907265726e-06 -8.377380000001721251e-05 2.519714399999429784e-04 3.735340000275755271e-06 -1.676055800002359414e-04 -6.860349999988102037e-06 1.733400000193796689e-06 -7.387391000011121029e-05 -2.334590000100433751e-06 4.513855000022885984e-05 2.095947199999500274e-04 -2.057922399999370221e-04 -1.867660000061732697e-06 -2.264420000210520719e-06 3.192140000101062620e-06 4.608160000134375787e-06 -1.403800000116461958e-06 -1.666259999910835164e-06 -2.130140000008395779e-06
1.750000000000000000e+01 1.925408944999981026e-03 6.802368499993463233e-05 5.133040000146138665e-06 8.062103279999791733e-03 -1.918395900000177722e-04 7.049713000000338041e-04 2.310816345000021171e-02 4.272573859999829159e-03 -7.400520000010146862e-06 6.326300000000628389e-06 3.326399999423301781e-07 -2.487671000000773363e-04 2.508728100001462948e-04 -1.342800000202259907e-07 -2.543395899998358986e-04 2.531402499998876049e-04 1.867679999850224675e-06 6.057739999960176620e-06 3.687745000006543544e-05 -1.000980000026174913e-06 -2.912109400000190379e-04 -5.981399997835978864e-07 2.710418699998627017e-04 2.655944999987696199e-05 -2.119445999978779692e-05 -1.898190000065369588e-06 -5.035409999982220735e-06 3.692629999932250916e-06 4.974360000051092103e-06 -5.706800000552902597e-07 -4.943799998727626916e-07 -5.133050000040384760e-06
1.850000000000000000e+01 1.852801509999881142e-03 2.862560000176017766e-06 3.100579999954789075e-06 8.238729859999875324e-03 -2.119354200000089024e-04 7.173370300002716556e-04 2.285650635000001721e-02 4.123461909999968748e-03 -6.198120000226481069e-06 4.266359999928681614e-06 3.665170000022044552e-06 -1.019653299998026343e-04 2.497650200000862139e-04 -1.476959500001612344e-04 -6.496884999996836556e-05 2.112670800001069436e-04 7.324399997742148043e-07 4.064920000018901070e-06 4.216919000009511370e-05 -1.864620000014838353e-06 -2.527679300001181898e-04 -2.014399997278815163e-07 2.592987099998936046e-04 1.165769999897747813e-06 2.236940000148024478e-06 -4.364000000350642690e-07 -5.432130000190227114e-06 3.762820000156352879e-06 4.635620000044582574e-06 -4.333400000177789448e-07 -3.967300001022522090e-07 -3.799450000042270437e-06
1.950000000000000000e+01 2.024868770000102722e-03 3.665159999945899402e-06 2.865600000222912110e-06 8.297732539999561063e-03 -2.711028999998234268e-04 7.717071600000053808e-04 2.262906494000017227e-02 4.132165529999838431e-03 -5.532839999978022920e-06 2.603140000064740795e-06 5.798340000001189525e-06 -1.178344700001616709e-04 1.037089066667249375e-04 1.279195333336247134e-05 -7.830199999989417858e-05 6.353250666664962232e-05 1.735439999902155182e-06 4.667140000185554433e-06 -6.896933334587628885e-07 -2.087399999913941576e-06 -6.489054333336526201e-05 7.965000000694999188e-07 6.944885666671325112e-05 9.562199999550102376e-07 3.220626666620774019e-06 -3.332520000071781369e-06 -3.800460000149996438e-06 5.910233333509040832e-06 1.289873333257673844e-06 4.903200001194818447e-07 1.354986666649438016e-06 -6.844073333434152640e-06
